catégorie;énoncé;réponse1;réponse2;réponse3;bonne_réponse
club;En quelle année l’OGC Nice a-t-il été fondé ?;1899;1904;1919;1
club;Quel nom portait l’OGC Nice à sa création ?;Gymnaste Club de Nice;Olympique Niçois;AS Nice Côte d’Azur;0
club;Quelle décennie est considérée comme l'âge d’or du club avec plusieurs titres de champion de France ?;Les années 70;Les années 50;Les années 90;1
club;Quelle saison a vu l’OGC Nice remonter en Ligue 1 après plusieurs années en seconde division ?;1995–1996;2001–2002;2004–2005;1
club;Quelle période a été l’une des plus difficiles sportivement pour le club ?;Les années 60;Les années 80–90 avec des relégations répétées;Les années 2010;1
club;Quel événement historique marque la saison 1951-1952 pour l’OGCN ?;Première victoire contre Monaco;Doublé Championnat – Coupe de France;Premier match en Coupe d’Europe;1
club;Quelle saison a vu l’OGC Nice remporter son tout premier titre de champion de France ?;1947–1948;1950–1951;1954–1955;1
club;Quel joueur fut un artisan majeur du titre de 1956 avec ses 30 buts en championnat ?;Jacques Foix;Jean Luciano;Just Fontaine;2
club;En quelle année le club a-t-il été relégué pour la dernière fois en Ligue 2 avant sa remontée en 2002 ?;1994;1997;2000;1
club;Quelle victoire historique à l’extérieur symbolise le retour de l’OGCN parmi les grands en 2016–2017 ?;Nice - marseille (3-2);PSG – Nice (0–2);Lyon – Nice (1–4);0
club;Dans les années 1990, le club est connu pour une instabilité chronique. Combien d’entraîneurs se succèdent entre 1990 et 2000 ?;4;6;9;2
club;Quelle entreprise est propriétaire du club depuis 2019 ?;Red Bull;Qatar Sports Investments;INEOS;2
club;quel fut l’adversaire lors des barrages du maintien saison 1989-1990, avec une victoire 6-0 au ray;guinguamp;strasbourg;Metz;1
club;Quelle est la particularité de l’exercice 2016–2017 pour l’OGC Nice ?;Dernier au classement à la mi-saison;Vainqueur de la Coupe de la Ligue;3e de Ligue 1 avec Balotelli, Belhanda et Seri;2
club;Quel ancien président est resté dans les mémoires pour avoir redressé le club au début des années 2000 ?;Jean-Pierre Rivère;Maurice Cohen;Gilbert Stellardo;1
club;Combien de titres de champion de France l’OGC Nice a-t-il remportés ?;2;3;4;2
club;En quelle année l’OGC Nice a-t-il remporté sa dernière Coupe de France ?;1951;1997;1981;1
club;Contre quel club le Gym a-t-il remporté la Coupe de France 1997 ?;Bordeaux;Guingamp;Metz;1
club;Lors de quelle saison l’OGC Nice a-t-il joué sa première finale de Coupe de France ?;1951–1952;1946–1947;1962–1963;0
club;Quelle performance européenne marque la saison 2017–2018 de l’OGCN ?;Demi-finale de Ligue Europa;16e de finale de Ligue Europa, éliminé par le Lokomotiv Moscou;Quart de finale contre le Real Madrid;1
club;Quel club elimina l’ogcnice en barrage de ligue des champions lors de la saison 2017-2018;Lazio Rome;SSC Napoli;Inter Milan;1
club;Lors de la saison 1951–1952, quel doublé l’OGC Nice réalise-t-il ?;Champion de France + Trophée des Champions;Champion de France + Coupe Charles Drago;Championnat + Coupe de France;2
club;Quel est le meilleur classement européen de l’OGC Nice en Ligue Europa (ex-Coupe UEFA) ?;Demi-finales;Quarts de finale;Huitièmes de finale;2
club;Lors de la Coupe d’Europe 1956–1957, quel club mythique a éliminé le Gym ?;Real Madrid;AC Milan;Barcelone;0
club;Qui est le meilleur buteur de l’histoire de l’OGC Nice en matchs officiels ?;Roger Piantoni;Victor Nurenberg;Pancho González;1
club;Quel gardien de but emblématique a marqué les années 2000 avec son charisme et ses arrêts réflexes ?;Hugo Lloris;Fabien Barthez;David Ospina;0
club;Combien de matchs Victor Nurenberg à t il joué avec l’ogcnice;309;405;206;0
club;Mario Balotelli a marqué les esprits à Nice. Combien de buts a-t-il inscrit en Ligue 1 avec le Gym ?;23;33;43;2
club;Quel est le nom de l’attaquant argentin qui a fait le bonheur des aiglons entre 2012 et 2014 ?;Dario cvitanich;Ederson;Pablito Rodriguez;0
club;Quel joueur marqua un but incroyable de 40 mètres lors du derby monegasque en 2005;Kaba Diawara;Ederson;Sammy Traore;0
club;Quel joueur niçois, né à Nice marqua le premier but de la magnifique victoire 5 à 4 contre l’OM en coupe de france 2014;Anthony Scarramozino;Alexis Bosetti;Neal Maupay;0
club;"Qui était surnommé ""Pancho"", et est considéré comme une légende du club dans les années 1950 ?";Pancho Villa;Pancho González;Pancho Segura;1
club;Quel attaquant ivoirien à fait le bonheur du club dans les années 2000 ?;Kaba Diawara;Baky Koné;Didier Drogba;0
club;Quel defenseur durant les saisons 2013-2017, passé aussi par le psg est aujourd’hui directeur sportif du Havre AC;Mathieu Bodmer;Sammy Traoré;Renato Civelli;0
club;Quel entraîneur a mené l’OGC Nice au titre de champion de France en 1951 ?;Just Fontaine;Numa Andoire;Jean Snella;1
club;Quel joueur et entraîneur emblématique des années 1950 a remporté deux titres de champion avec Nice ?;Jean Luciano;just fontaine;Robert Herbin;0
club;Quel coach suisse a marqué un tournant en ramenant du jeu et une 3e place en Ligue 1 en 2016–2017 ?;Claude Puel;Christophe Galtier;Lucien Favre;2
club;Quel entraîneur a dirigé l’équipe lors de la victoire en Coupe de France en 1997 ?;Gernot Rohr;Silvester Takac;Guy David;1
club;Qui était l’entraîneur du Gym au moment de la remontée en Ligue 1 en 2001-2002 ?;Gérard Gili;Sandro Salvioni;Albert Emon;1
club;Quel entraîneur est revenu en 2022 pour un second passage après une expérience au Borussia Dortmund ?;Patrick Vieira;Christophe Galtier;Lucien Favre;2
club;Qui a été nommé entraîneur principal de l’OGC Nice à l’été 2021 ?;Claude Puel;Christophe Galtier;Bruno Génésio;1
club;Quel entraîneur a quitté le Gym pour prendre la tête du PSG en 2022 ?;Patrick Vieira;Christophe Galtier;Adrian Ursea;1
club;Quel coach a été limogé en 2023 après des résultats jugés insuffisants malgré un effectif solide ?;Didier Digard;Patrick Vieira;Lucien Favre (2e passage);2
club;Qui a pris en main l’équipe première du Gym en tant qu’intérimaire en 2023 et a séduit par sa rigueur ?;Patrick Vieira;Eric Roy;Didier Digard;2
club;En quelle année a été inauguré le Stade du Ray ?;1910;1927;1945;1
club;Quel match a marqué l’inauguration officielle de l’Allianz Riviera en 2013 ?;Nice – Lyon;Nice – PSG;Nice – Valenciennes;2
club;Quel événement sportif hors ogcnice a été organisé à l’Allianz Riviera en 2016 ?;L’Euro 2016;La coupe du mon de rugby;Les JO de la pétanque;0
club;Quelle entreprise donne son nom au stade actuel de l’OGC Nice ?;TotalEnergies;Allianz;Crédit Agricole;1
club;Quelle est la capacité officielle de l’Allianz Riviera ?;25 000 places;30 000 places;35 000 places;2
club;Quelle capacité maximale a atteint le Stade du Ray dans ses plus belles années ?;12 000 places;15 000 places;Environ 17 000 places;2
club;Quel club européen prestigieux a affronté l’OGC Nice en amical lors de la saison 2021 à l’allianz riviera ?;Juventus;AC Milan;FC Barcelone;1
club;Quelle spécificité écologique possède l’Allianz Riviera ?;Son toit est fait en algues recyclées;Il produit de l’énergie grâce à des panneaux solaires;Il est chauffé par les encouragements des ultras;1
club;Quel est le principal groupe ultra de l’OGC Nice ?;Les Briganti;Les Socca Boys;Les Ultras Populaire Sud (UPS);2
club;Dans quelle tribune historique du Stade du Ray se réunissaient les ultras niçois ?;Tribune Populaire Sud;Tribune Garibaldi;Tribune Paillon;0
club;Quel chant emblématique est souvent repris en cœur par le stade avant le coup d’envoi ?;"""Qui ne saute pas...""";"""Le chant des aiglons""";"""Nissa la Bella""";2
club;Quel accessoire est interdit en tribune mais reste souvent utilisé par les ultras pour les tifos ?;Cornes de brume;Drapeaux à paillettes;Fumigènes;2
club;Quel match à l’Allianz a donné lieu à un envahissement de terrain par les supporters en 2021 ?;Nice – Monaco;Nice – Marseille;Nice – PSG;1
club;Quel élément présent sur le maillot symbolise l’attachement du club à sa ville ?;Le logo de la région PACA;Une croix occitane;L’aigle de l’écusson de la ville de Nice;2
club;Quel maillot a particulièrement marqué la saison 2008–2009 ?;Un maillot vert fluo;Un maillot « camouflage » gris et noir;Un maillot bleu ciel;1
club;"Quel club est le rival principal de l’OGC Nice dans le ""derby de la Côte d’Azur"" ?";Montpellier;AS Monaco;Marseille;1
club;Quel autre club, au-delà de Monaco, est régulièrement l’objet d’une forte rivalité pour les supporters niçois ?;Bordeaux;Lyon;Marseille (OM);2
club;En 2021, quel événement a marqué le match entre Nice et l’OM à l’Allianz Riviera ?;Une panne d’éclairage;Une grève des ramasseurs de balle;Une bagarre générale avec envahissement du terrain;2
club;Quel résultat marquant a signé une victoire historique du Gym face à Monaco en 2017 ?;1–0 dans les arrêts de jeu;4–0 à domicile;3–2 avec un but du gardien;1
club;Quel match contre Marseille a été interrompu en 2021 après un jet de bouteille et une bagarre générale ?;Nice – Marseille en Coupe de France;Nice – Marseille (2021, en Ligue 1 à l’Allianz Riviera);match amical de pré saison;1
club;Quel club, bien que non voisin, est parfois vu comme un rival à cause de nombreuses tensions passées ?;Lorient;Toulouse;Saint-Étienne;2
club;Quel joueur inscrit un triplé au stade louis 2 lors de la remontada 4-3 en 2004-2005;Marame Vahirua;Victor Agali;Cyril Rool;1
club;Quel defenseur , passé par marseille, monaco et nice détient un record de 21 cartons rouge en championnat;Franck Jurietti;Cyril Rool;Eric di meco;1
club;En quelle année l’OGC Nice a-t-il participé pour la première fois à une Coupe d’Europe ?;1952;1956;1961;1
club;Quel club a éliminé le Gym en quarts de finale de la Coupe d’Europe des clubs champions en 1957 ?;Real Madrid;Manchester United;Benfica;0
club;En 2017, contre quel club italien Nice est-il éliminé en barrages de Ligue des Champions ?;Inter Milan;Napoli (Naples);Roma;1
club;En 2023, jusqu’à quel stade de la Ligue Europa Conférence l’OGCN est-il allé ?;Phase de groupes;Quarts de finale;Demi-finales;1
club;Contre quel club allemand Nice a-t-il joué en phase de groupes d’Europa League 2016–2017 ?;Wolfsburg;Schalke 04;Bayern Munich;1
club;Quel joueur a marqué le premier but européen de nice à l’allianz riviera contre Krasnodar en 2016 ?;Balotelli;Plea;Alexis Bosetti;2
club;En quelle année l’ogcnice perdit la finale de la coupe latine contre le FC Barcelone ?;1985;1952;1908;1
club;Quel a été la particularité du parcours du gym lors de la coupe de vainqueurs de coupe 1998 ?;8 défaites;aucune défaite dans le temps réglementaire;victoire finale;1
club;Quel joueur est connu pour avoir marqué un doublé lors de son premier derby contre marseille en 2016 ?;Alassane Pléa;Mario Balotelli;Mickaël Le Bihan;1
club;Quel est le record de points du club en Ligue 1 sur une saison (à 3 pts/victoire) ?;62;78;112;1
club;Quel joueur est le meilleur buteur de l’histoire du gym ?;Dario Cvitanich;Vic Nurenberg;Joaquim Valle;2
club;En 2012, Nice a assurée son maintien 4-3 à l’extérieur lors de la dernière journée. Contre qui ?;Lorient;Lyon;Toulouse;1
club;Qui était président du club lors de saison qui a suivi la remontée en Ligue 1, en 2002-2003 ?;Jean-Pierre Rivère;Maurice Cohen;Gilbert Stellardo;1
club;Qui fut directeur sportif lors du recrutement de Balotelli en 2016 ?;Julien Fournier;Claude Puel;Christophe Galtier;0
club;Quel niçois fut le president durant la periode 1991-1997, et remporta la coupe de france;Maurice Cohen;Andre Bois;Jean Christophe Cano;1
club;Qui fut le president pendant 10 ans, 1981 à 1991;Mario Innocentini ( bonne reponse);Andre Bois;Franco Sensi;0
club;Quel president eu le mandat le plus court de l’histoire du club ?;Robert Cassone (bonne reponse, 5 mois en 2002);Gilbert Stellardo;Maurice Cohen;0
club;Quel attaquant italien a marqué 43 buts en deux saisons avec l’OGC Nice entre 2016 et 2018 ?;Roland Linz;Marco Di Costanzo;Mario Balotelli;2
club;En 2023, qui était l’entraîneur de Nice en début de saison avant d’être remplacé ?;Christophe Galtier;Lucien Favre;Claude Puel;1
club;Qui a marqué un doublé dans la victoire contre le PSG au Parc en septembre 2023 ?;Thuram;Terem Moffi;Dante;1
club;Quelle saison voit Nice atteindre la finale de la Coupe de France, perdue face à Nantes ?;2019–2020;2021–2022;2022–2023;1
club;En janvier 2024, quel événement symbolique a été célébré au sein du club ?;Le 100e but de Balotelli;L’annonce d’un nouveau stade;Les 120 ans du club;2
club;En 2024, quel attaquant de l’ogcnice est le 2éme meilleur buteur de ligue 1 encore en activité;Andy Delort;Gaetan Laborde;Terem Moffi;1
club;Quel autre club de la galaxie Ineos était qualifié pour l Europa League en debut de saison 2024-2025;Fc Bale;Manchester United ( bonne reponse);Lausanne Sport;0
culture_locale;Quel peuple est à l’origine de la fondation de la ville de Nice, connue sous le nom de Nikaïa ?;Les Romains;Les Grecs de Phocée;Les Gaulois;1
culture_locale;En quelle année la ville de Nice a-t-elle été définitivement rattachée à la France ?;1830;1901;1860;2
culture_locale;Avant 1860, à quel royaume appartenait la ville de Nice ?;L’Empire Austro-Hongrois;Le Royaume de Piémont-Sardaigne;Le Royaume-Uni;1
culture_locale;Quel traité a officialisé le rattachement de Nice à la France ?;Le Traité de Rome;Le Traité de Versailles;Le Traité de Turin;2
culture_locale;Quel grand personnage historique a fait une halte à Nice en 1796, lors de la campagne d’Italie ?;Victor Hugo;Napoléon Bonaparte;Charlemagne;1
culture_locale;Quelle révolte populaire a marqué la ville de Nice en 1871 contre l’administration française ?;La Commune de Nice;Les vépres niçoises;Les émeutes de la Socca;1
culture_locale;Quel nom portait la colline aujourd’hui appelée “Colline du Château” durant l’Antiquité ?;Colline Impériale;Colline de Jupiter;Le site de l’acropole grecque;2
culture_locale;En 1942, la ville de Nice est occupée par :;Les Allemands;Les Anglais;Les Italiens;2
culture_locale;Quelle ancienne cité romaine s’est développée sur la colline de Cimiez ?;Forum Julii;Cemenelum;Massilia;1
culture_locale;Quel roi de France a visité Nice en 1538 pour négocier la paix entre François Ier et Charles Quint ?;Louis XIV;François Ier;Henri IV;1
culture_locale;Que se passe-t-il à Nice pendant la Révolution française ?;Elle devient une ville indépendante;Elle reste fidèle à la monarchie;Elle est réunie à la France en 1793;2
culture_locale;Quelle est la particularité de l’année 1860 concernant la langue parlée à Nice ?;Le niçois devient langue officielle en France;Le français est interdit à Nice;Le français remplace progressivement l’italien comme langue administrative;2
culture_locale;Qui fut maire de Nice pendant près de 24 ans, entre 1995 et 2008 ?;Jacques Peyrat;Christian Estrosi;Éric Ciotti;0
culture_locale;Quel quartier historique de Nice est célèbre pour ses ruelles étroites, ses façades colorées et son marché aux fleurs ?;Jean-Médecin;Les Musiciens;Le Vieux-Nice;2
culture_locale;Quel quartier niçois, perché sur les hauteurs, est réputé pour ses vestiges romains et son ancien monastère ?;Magnan;Cimiez;Fabron;1
culture_locale;Quel quartier de Nice est célèbre pour son architecture Belle Époque et ses nombreux hôtels particuliers ?;Riquier;Les Musiciens;Le Port;1
culture_locale;Quel quartier de Nice est situé à l’est du port et marque la transition vers la route de la Moyenne Corniche ?;Cimiez;Mont Boron;Las Planas;1
culture_locale;Quel monument emblématique se dresse au sommet de la colline du Château, offrant une vue panoramique sur la baie de Nice ?;Le Fort Mont-Alban;La Tour Bellanda;Les ruines du château médiéval et la cascade artificielle;2
culture_locale;Quel est le nom de la célèbre cathédrale baroque située au cœur du Vieux-Nice ?;Église Sainte-Réparate;Cathédrale Sainte-Réparate;Église Saint-François-de-Paule;1
culture_locale;Quel édifice militaire surplombe la ville depuis les hauteurs de la colline de Mont Boron ?;Le Fort du Ray;La Citadelle;Le Fort Mont-Alban;2
culture_locale;Quel bâtiment abrite le musée Matisse dans le quartier de Cimiez ?;L’Hôtel Régina;La Villa des Arènes;Le Palais Lascaris;1
culture_locale;Quel monument niçois est dédié aux soldats morts pour la France durant la Première Guerre mondiale ?;La Croix de Cimiez;Le Monument aux Morts de Rauba-Capèu;La colonne du centenaire;1
culture_locale;Quel palais baroque du Vieux-Nice abrite aujourd’hui un musée de musique ancienne ?;Le Palais Sarde;Le Palais Masséna;Le Palais Lascaris;2
culture_locale;Où peut-on admirer la célèbre colonne du Centenaire, construite en 1893 pour commémorer le rattachement de Nice à la France ?;Sur la place Masséna;Devant la cathédrale Sainte-Réparate;Dans le jardin Albert 1er;2
culture_locale;Quel lieu emblématique de Nice, aujourd’hui disparu, accueillait les grands matchs de football avant l’Allianz Riviera ?;Le Stade Saint-Augustin;Le Stade Méditerranée;Le Stade du Ray;2
culture_locale;Quelle spécialité culinaire niçoise est une galette à base de farine de pois chiches cuite au four ?;La pissaladière;Le pan bagnat;La socca;2
culture_locale;Que célèbre-t-on chaque année à Nice avec un grand défilé de chars fleuris et des batailles de fleurs ?;Le Festival de la Socca;Le Carnaval de Nice;La fête des vendanges;1
culture_locale;Quel est le nom du personnage traditionnel, roi du Carnaval de Nice ?;Le Baron Carnaval;Sa Majesté Carnaval;Lou Festin;1
culture_locale;Quel instrument de musique est associé à la musique traditionnelle niçoise ?;Le violon;Le fifre et tambour;L’accordéon;1
culture_locale;Quelle est la particularité du drapeau traditionnel niçois ?;Il représente une croix rouge sur fond blanc;Il est bleu, blanc et vert;Il représente un aigle rouge sur fond argenté;2
culture_locale;Quelle fête religieuse est célébrée chaque été à Cimiez, mêlant traditions païennes et chrétiennes ?;L’Assomption;La fête des Mai;La fête de la Saint-Jean;1
culture_locale;Quel ingrédient ne fait pas partie de la salade niçoise ?;Haricots verts;Cébettes;œuf;0
culture_locale;Quel ingrédient ne fait pas partie du pan bagnat niçois ?;fevettes;artichauts;Courgette grillée;2
culture_locale;Dans quel parc retrouve t on des danseurs traditionnels niçois au mois de Mai;La coulée verte;Les arènes de Cimiez;Le castel des 2 rois;1
culture_locale;Quel peintre fauviste et moderne a vécu à Nice pendant plusieurs années et y possède un musée ?;Pablo Picasso;Claude Monet;Henri Matisse;2
culture_locale;Quel célèbre philosophe allemand a séjourné régulièrement à Nice et y a écrit une partie de “Ainsi parlait Zarathoustra” ?;Karl Marx;Emmanuel Kant;Friedrich Nietzsche;2
culture_locale;En quelle année le musée Marc Chagall a-t-il ouvert ses portes à Nice ?;1953;1973;1991;1
culture_locale;Quel événement sportif majeur a été accueilli par Nice en 2016 ?;Les Jeux Olympiques;La Coupe du monde de rugby;La Coupe d’Europe de football (Euro);2
culture_locale;Quel musée niçois abrite une importante collection d’art contemporain ?;Le musée des Beaux-Arts;Le musée Chagall;Le MAMAC (Musée d’Art Moderne et d’Art Contemporain);2
culture_locale;Quelle personnalité politique a été maire de Nice à plusieurs reprises et ministre de l’Industrie ?;Jean Médecin;Éric Ciotti;Christian Estrosi;2
culture_locale;Quel artiste, grande figure de l’Ecole de Nice, etait particulierement connu pour ses ecritures;Ben;Henri Matisse;Yves Klein;0
culture_locale;Quelle humoriste est connu pour son interpretation de mado la niçoise;Florence foresti;Noelle Pernat;Anne Roumanoff;1
culture_locale;Quelle grande course pédestre relie chaque année Nice à Cannes en longeant la Méditerranée ?;Le Marathon du Sud;Le Marathon des Alpes-Maritimes;La Promenade Run;1
culture_locale;Quel club de basketball niçois joue en championnat national ?;Nice Slam Dunk;OGC Basket;Nice Cavigal Basket;2
culture_locale;Quelle équipe féminine de handball représente la ville de Nice au niveau professionnel ?;Nice Azur Hand;OGC Nice Côte d’Azur Handball Féminin;Handball Club Méditerranée;1
culture_locale;Quelle épreuve internationale de triathlon passe par Nice, réputée pour son exigence ?;L’Ultra Tri Riviera;Ironman France Nice;Le Méga Run Méditerranée;1
culture_locale;Quel complexe aquatique niçois est utilisé pour la natation sportive et les compétitions ?;Piscine Méditerranée;Piscine Jean Bouin;Piscine du Ray;1
culture_locale;Quel club de rugby niçois évolue dans les divisions nationales ?;Rugby Côte Bleue;Stade Niçois Rugby;Cavigal Rugby;1
culture_locale;Quel nageur, licencié à l’Olympic Nice Natation pendant près de 10 ans fut doublé medaillé au JO de londres en 2012;Florent Manaudou;Yannick Agnel;Franck Esposito;1
culture_locale;Quelle nageuse niçoise, malheureusement décédé à seulement 25 ans, est triple médaillée aux JO de londres 2012;Camille Muffat;Laure Manaudou;Marie José Perec;0
culture_locale;Quel niçois fut champion de France, d’europe et du monde de Karaté, et accessoirement coach sportif à la star academy;Christophe Pinna;Brahim Asloum;Jackie Chan;0
culture_locale;Il fut pilote de Formule 1 en 2013 et 2014 pour l’écurie Marussia et décéda à la suite d’un accident au Grand Prix du Japon;Pierre Gasly;Jules Bianchi;Charles Leclerc;1
culture_locale;Quelle niçoise, star du patinage artistique, participa à 3 éditions des Jeux Olympiques;Tonya Harding;Surya Bonaly;Andrée Joly;1
culture_locale;Quelle joueuse de tennis professionelle niçoise parvint à se hisser à la 11 eme place du classement wta en 2009;Laure Manaudou;Alize Cornet;Mary Pierce;1
culture_locale;Quel est le nom du pilote de moto niçois, champion du monde de moto gp en 2021;David Casteu;Christian Estrosi;Fabio Quartararo;2
culture_locale;Quel grand espace vert relie la place Masséna au Théâtre National, en plein cœur de Nice ?;Le Parc des Collines;Le Jardin du Ray;La Promenade du Paillon;2
culture_locale;Quel jardin botanique situé sur les hauteurs de Nice abrite plus de 3 000 espèces végétales ?;Jardin Phoenix;Jardin Botanique de Nice (Corniche Fleurie);Jardin Méditerranéen de Cimiez;1
culture_locale;Quelle colline offre un panorama sur le port de Nice, la baie des Anges, et la rade de viffefranche en plus d’un parc boisé ?;Colline du Château;Colline du Mont Boron;Colline de Cimiez;1
culture_locale;Quel espace vert abrite une cascade artificielle célèbre, vestige romantique du XIXe siècle ?;Parc Phoenix;Colline du Château;Jardin Alsace-Lorraine;1
culture_locale;Quel parc niçois, situé dans le quartier Magnan, est connu pour ses aires de jeux et ses fontaines ?;Parc Jean Bouin;Castel des 2 rois;Parc Carol de Roumanie;2
culture_locale;Quel parc floral et zoologique est situé à proximité de l’aéroport de Nice ?;Parc des Arènes;Parc Phoenix;Parc Méditerranée;1
culture_locale;Quel parc est niché à proximité des arènes romaines ?;Jardin des Arènes de Cimiez;Parc Libération;Jardin Riquier;0
culture_locale;Quelle promenade naturelle longe le littoral entre Nice et Villefranche-sur-Mer ?;Sentier du Littoral (Chemin des Douaniers);Promenade du Bord d’Azur;Voie Bleue;0
culture_locale;Quel est le plus long fleuve des Alpes Maritimes ?;Le Loup;La Vésubie;Le Var;2
culture_locale;Quelle colline de Nice, aujourd’hui résidentielle, était autrefois couverte d’oliveraies ?;La colline de Fabron;La colline Saint-Roch;La colline de Las Planas;0
culture_locale;Quel type de plage est typique du bord de mer niçois ?;Plage de sable blanc;Plage volcanique;Plage de galets;2
culture_locale;Quelle plage est située juste à côté du Quai des États-Unis, en plein centre-ville ?;Plage Beau Rivage;Plage Sainte-Hélène;Plage Arénas;0
culture_locale;Quelle plage privée historique de Nice a vu passer célébrités et têtes couronnées ?;Castel Plage;Ruhl Plage;Voilier Plage;1
culture_locale;Quel est le surnom poétique donné à la baie sur laquelle s’ouvre le front de mer niçois ?;La baie turquoise;La Baie des Anges;La Baie du Soleil;1
culture_locale;Quel espace maritime protégé jouxte le littoral niçois et fait l’objet de campagnes de préservation ?;La réserve de Cap Ferrat;Le sanctuaire Pelagos;Le parc marin des Galets;1
culture_locale;Quel secteur est historiquement le plus important pour l’économie niçoise ?;L’agriculture;L’industrie lourde;Le tourisme;2
